"mun","uf","total","agropecuaria","industria","servicos","adm","s_agropecuaria","s_industria","s_servicos","s_adm"
"Nova Ipixuna ","PA",128032,37987,8741,27452,53852,0.296699262684329,0.0682719945013747,0.214415146213447,0.42061359660085
"Nova Timboteua ","PA",95375,22571,4879,24623,43302,0.236655307994758,0.0511559633027523,0.258170380078637,0.454018348623853
"Novo Progresso ","PA",425525,134253,32767,167447,91058,0.315499676869749,0.0770037013101463,0.393506844486223,0.213989777333882
"Novo Repartimento ","PA",701208,254760,44778,167851,233820,0.36331587774241,0.0638583701269809,0.239374051636604,0.333453126604374
"Óbidos ","PA",513022,212174,34531,101874,164444,0.413576805673051,0.0673090042922136,0.198576279379832,0.32053985988905
"Oeiras do Pará ","PA",353560,198141,12134,36113,107172,0.560416902364521,0.0343194931553343,0.102141079307614,0.303122525172531
"Oriximiná ","PA",1638740,176914,661631,542869,257325,0.107957333072971,0.403743729938855,0.331272196931789,0.157026129831456
"Ourém ","PA",150105,52827,12499,34654,50125,0.351933646447487,0.0832683788015056,0.23086506112388,0.333932913627128
"Ourilândia do Norte ","PA",435249,48016,144604,140753,101877,0.110318461386471,0.332232813860572,0.323385004905238,0.234066017383153
"Pacajá ","PA",404831,172852,17621,86625,127733,0.426973230804953,0.043526805012462,0.21397817854858,0.315521785634005
"Palestina do Pará ","PA",50503,14078,2427,9832,24166,0.27875571748213,0.0480565510959745,0.194681504069065,0.478506227352831
"Paragominas ","PA",2220904,278494,804519,771770,366121,0.125396685313728,0.3622484357721,0.347502638565197,0.164852240348975
"Parauapebas ","PA",10623905,119876,6980728,2593766,929535,0.0112836099343885,0.657077411742669,0.244144314166966,0.0874946641559766
"Pau D'Arco ","PA",71678,28622,5459,10973,26624,0.399313596919557,0.0761600491085131,0.153087418733782,0.371438935238148
"Peixe-Boi ","PA",47297,9998,2545,9249,25505,0.211387614436434,0.0538089096560036,0.195551514895236,0.539251961012326
"Piçarra ","PA",174074,92531,10474,26013,45056,0.531561290026081,0.0601698128382182,0.149436446568701,0.258832450567
"Placas ","PA",219642,91154,15651,34280,78558,0.41501170085867,0.0712568634414183,0.156072153777511,0.357663834785697
"Ponta de Pedras ","PA",182965,59797,5019,29631,88517,0.326822069794769,0.0274314759653486,0.161949006640614,0.483791982073074
"Portel ","PA",433533,148032,23507,73082,188912,0.341454975745791,0.0542219392756722,0.168573095935027,0.43574998904351
"Porto de Moz ","PA",211765,64652,7956,34379,104778,0.305300687082379,0.0375699478195169,0.162345052298538,0.494784312799566
"Prainha ","PA",215308,87737,7494,29817,90259,0.407495309045646,0.0348059524030691,0.138485332639753,0.41920876140227
"Primavera ","PA",67954,8463,4494,20234,34762,0.124540130088001,0.0661329723047944,0.297760249580599,0.511551932189422
"Quatipuru ","PA",74042,24194,2252,11850,35746,0.326760487290997,0.0304151697685098,0.160044299181546,0.482780043758948
"Redenção ","PA",1263720,118965,202776,713059,228920,0.0941387332636976,0.160459595480011,0.564253948659513,0.181147722596778
"Rio Maria ","PA",310866,75819,78279,97230,59538,0.243896083843199,0.251809461311305,0.312771419196696,0.1915230356488
"Rondon do Pará ","PA",456183,133643,36568,130015,155958,0.292959185239257,0.0801608126563243,0.285006236532269,0.34187595767488
"Rurópolis ","PA",267740,61211,26350,56134,124046,0.228621050272653,0.0984163740942706,0.209658624038246,0.46330768656159
"Salinópolis ","PA",319399,15245,30373,159419,114362,0.0477302684103582,0.0950942238391479,0.499121788108291,0.358053719642203
"Salvaterra ","PA",138740,21674,7174,36908,72985,0.156220268127433,0.051708231223872,0.266022776416318,0.52605593195906
"Santa Bárbara do Pará ","PA",119813,6040,30003,29247,54523,0.0504118918648227,0.250415230400708,0.244105397577892,0.455067480156577
"Santa Cruz do Arari ","PA",60355,24841,1122,6774,27618,0.41158147626543,0.0185900091127496,0.112235937370558,0.457592577251263
"Santa Izabel do Pará ","PA",558211,86005,78856,200798,192552,0.15407256395879,0.141265578786516,0.35971702456598,0.344944832688715
"Santa Luzia do Pará ","PA",132290,30027,5975,33703,62585,0.226978607604505,0.0451659233502154,0.254766044296621,0.473089424748658
"Santa Maria das Barreiras ","PA",242463,133114,7906,35959,65485,0.549007477429546,0.0326070369499676,0.148307164392093,0.270082445569015
"Santa Maria do Pará ","PA",193055,46993,13666,62175,70220,0.243417678899795,0.0707881173758773,0.322058480743829,0.363730543109477
"Santana do Araguaia ","PA",617819,174068,99268,161376,183106,0.281745948246978,0.160674890218656,0.261202714710943,0.29637482822639
"Santarém ","PA",3607925,428934,375577,1911251,892163,0.118886617654192,0.104097784737765,0.529736898632871,0.247278698975173
"Santarém Novo ","PA",39194,8515,1905,6066,22708,0.217252640710313,0.0486043782211563,0.154768587028627,0.579374394039904
"Santo Antônio do Tauá ","PA",283697,117980,25039,54434,86244,0.415866223470816,0.0882596573104404,0.191873724431348,0.304000394787396
"São Caetano de Odivelas ","PA",111302,32463,3847,20649,54343,0.291665917952957,0.0345636197013531,0.185522272735441,0.48824818961025
"São Domingos do Araguaia ","PA",200141,51278,12316,64038,72509,0.256209372392463,0.0615366166852369,0.319964425080318,0.362289585841981
"São Domingos do Capim ","PA",235967,100296,11138,34198,90335,0.425042484754224,0.0472015154661457,0.144927044883395,0.382828954896235
"São Félix do Xingu ","PA",1152589,507084,109631,219898,315975,0.439952142524352,0.0951171666569783,0.190786134519764,0.274143688686947
"São Francisco do Pará ","PA",151292,54318,8260,46677,42038,0.359027575813658,0.0545964095920472,0.308522592073606,0.277860032255506
"São Geraldo do Araguaia ","PA",289707,96515,24119,92088,76984,0.333146938113335,0.0832530798358341,0.317865981836821,0.265730548450676
"São João da Ponta ","PA",37360,11094,1556,5668,19042,0.296948608137045,0.0416488222698073,0.151713062098501,0.509689507494647
"São João de Pirabas ","PA",125755,22777,6065,25639,71274,0.181122022981194,0.048228698660093,0.203880561409089,0.566768716949624
